timestamp,base,code,pair,rate,inverse
1763224025,USD,SCR,USD:SCR,14.010372,
1763224025,USD,SDG,USD:SDG,601.503676,
1763224025,USD,SEK,USD:SEK,9.449304,
1763224025,USD,SGD,USD:SGD,1.297504,
1763224025,USD,SHP,USD:SHP,0.750259,
1763224025,USD,SLE,USD:SLE,23.403667,
1763224025,USD,SLL,USD:SLL,20969.498139,
1763224025,USD,SOS,USD:SOS,570.212034,
1763224025,USD,SRD,USD:SRD,38.589504,
1763224025,USD,STD,USD:STD,20697.981008,
1763224025,USD,STN,USD:STN,21.074362,
1763224025,USD,SVC,USD:SVC,8.74543,
1763224025,USD,SYP,USD:SYP,11056.884007,
1763224025,USD,SZL,USD:SZL,17.134747,
1763224025,USD,THB,USD:THB,32.405038,
1763224025,USD,TJS,USD:TJS,9.225238,
1763224025,USD,TMT,USD:TMT,3.51,
1763224025,USD,TND,USD:TND,2.938884,
1763224025,USD,TOP,USD:TOP,2.40776,
1763224025,USD,TRY,USD:TRY,42.170504,
1763224025,USD,TTD,USD:TTD,6.777343,
1763224025,USD,TWD,USD:TWD,30.569504,
1763224025,USD,TZS,USD:TZS,2448.754892,
1763224025,USD,UAH,USD:UAH,42.002581,
1763224025,USD,UGX,USD:UGX,3568.01858,
1763224025,USD,UYU,USD:UYU,39.766032,
1763224025,USD,UZS,USD:UZS,12033.030837,
1763224025,USD,VES,USD:VES,236.162804,
1763224025,USD,VND,USD:VND,26350,
1763224025,USD,VUV,USD:VUV,121.871382,
1763224025,USD,WST,USD:WST,2.813729,
1763224025,USD,XAF,USD:XAF,564.239818,
1763224025,USD,XAG,USD:XAG,0.01978,
1763224025,USD,XAU,USD:XAU,0.000245,
1763224025,USD,XCD,USD:XCD,2.70255,
1763224025,USD,XCG,USD:XCG,1.801299,
1763224025,USD,XDR,USD:XDR,0.701733,
1763224025,USD,XOF,USD:XOF,564.239818,
1763224025,USD,XPF,USD:XPF,102.584835,
1763224025,USD,YER,USD:YER,238.525037,
1763224025,USD,ZAR,USD:ZAR,17.08336,
1763224025,USD,ZMK,USD:ZMK,9001.203584,
1763224025,USD,ZMW,USD:ZMW,22.46355,
1763224025,USD,ZWL,USD:ZWL,321.999592,
